Time	Wx	Wy	Wz	Temperature
5.623	0.000	0.000	0.061	29.056
5.633	0.000	0.000	0.000	29.045
5.643	-0.061	0.000	0.061	29.045
5.654	0.000	-0.061	0.000	29.045
5.663	0.000	-0.061	0.061	29.039
5.673	0.000	-0.061	0.061	29.039
5.683	0.000	0.000	0.061	29.042
5.693	0.000	0.000	0.000	29.045
5.703	0.000	0.000	0.000	29.048
5.713	0.000	0.000	0.000	29.045
5.724	0.000	0.000	0.061	29.042
5.734	0.000	-0.061	0.122	29.039
5.744	0.000	-0.061	0.061	29.033
5.753	0.000	0.000	0.000	29.039
5.763	-0.061	0.000	0.000	29.048
5.773	-0.061	0.000	0.000	29.039
5.783	0.000	0.000	0.000	29.036
5.793	0.000	0.000	0.000	29.015
5.805	0.000	-0.061	0.000	29.021
5.814	0.000	-0.061	0.061	29.036
5.823	0.000	-0.061	0.061	29.045
5.834	0.000	-0.061	-0.061	29.039
5.844	-0.061	-0.061	0.000	29.033
5.854	0.000	-0.061	0.000	29.045
5.864	0.000	0.000	0.000	29.054
5.874	0.000	0.000	0.061	29.039
5.884	0.061	0.061	0.000	29.039
5.894	0.061	0.000	0.061	29.042
5.904	0.000	0.000	0.000	29.042
5.914	0.061	0.000	-0.061	29.048
5.924	0.000	0.000	0.000	29.045
5.934	0.000	0.000	0.000	29.045
5.944	0.000	0.000	0.000	29.033
5.954	0.000	0.000	0.122	29.030
5.965	0.000	0.000	0.061	29.033
5.974	0.000	0.000	0.000	29.036
5.984	0.000	0.000	0.000	29.042
5.994	0.000	0.000	0.000	29.048
6.005	0.000	0.000	-0.061	29.051
6.014	-0.061	0.000	0.061	29.048
6.025	0.000	0.000	0.000	29.039
6.034	0.000	0.000	0.000	29.045
6.044	0.000	0.000	-0.061	29.036
6.054	0.000	0.000	-0.061	29.039
6.064	0.000	0.000	0.000	29.048
6.074	0.000	0.000	0.061	29.045
6.085	0.000	-0.061	0.061	29.030
6.095	0.000	0.000	0.000	29.033
6.104	0.000	0.000	0.000	29.059
6.115	0.000	-0.061	0.000	29.051
6.125	0.000	-0.061	0.000	29.048
6.135	-0.061	0.000	0.061	29.042
6.144	-0.061	0.000	0.000	29.033
6.155	0.000	0.000	0.000	29.021
6.165	0.000	-0.061	0.061	29.030
6.175	0.000	-0.061	0.122	29.048
6.185	0.000	0.000	0.061	29.048
6.195	0.000	0.000	0.122	29.042
6.206	0.000	0.000	0.061	29.045
6.216	-0.061	-0.061	0.000	29.042
6.225	0.000	0.000	0.061	29.036
6.235	0.061	0.000	0.000	29.030
6.245	0.000	0.000	0.061	29.036
6.255	-0.061	0.000	0.061	29.054
6.266	-0.061	0.000	-0.122	29.051
6.276	0.000	0.000	0.000	29.051
6.286	0.000	0.000	0.061	29.051
6.296	0.000	-0.061	0.000	29.042
6.307	0.000	-0.061	0.061	29.039
