Time	Dx	Dy	Dz	Temperature
4.540	38.276	-62.479	-1.390	29.030
4.550	38.276	-62.479	-1.390	29.033
4.561	38.276	-62.479	-1.390	29.039
4.571	38.276	-62.479	-1.390	29.036
4.580	38.276	-62.479	-1.390	29.042
4.590	38.282	-62.479	-1.390	29.042
4.600	38.282	-62.479	-1.390	29.042
4.610	38.276	-62.479	-1.390	29.042
4.621	38.276	-62.479	-1.390	29.045
4.631	38.282	-62.479	-1.390	29.039
4.640	38.282	-62.479	-1.390	29.036
4.650	38.282	-62.479	-1.390	29.051
4.661	38.287	-62.479	-1.390	29.036
4.672	38.287	-62.479	-1.390	29.027
4.681	38.287	-62.479	-1.390	29.030
4.691	38.287	-62.479	-1.390	29.018
4.701	38.293	-62.479	-1.390	29.036
4.711	38.293	-62.479	-1.390	29.042
4.721	38.298	-62.485	-1.390	29.039
4.731	38.298	-62.485	-1.390	29.036
4.741	38.298	-62.485	-1.390	29.045
4.751	38.298	-62.479	-1.390	29.045
4.761	38.298	-62.479	-1.390	29.045
4.772	38.298	-62.479	-1.390	29.036
4.782	38.298	-62.479	-1.390	29.039
4.792	38.298	-62.485	-1.390	29.048
4.803	38.298	-62.485	-1.390	29.036
4.812	38.298	-62.485	-1.390	29.024
4.822	38.298	-62.485	-1.390	29.021
4.831	38.298	-62.485	-1.390	29.024
4.842	38.298	-62.485	-1.390	29.030
4.852	38.298	-62.485	-1.390	29.030
4.861	38.304	-62.485	-1.390	29.027
4.871	38.304	-62.485	-1.390	29.033
4.880	38.304	-62.485	-1.390	29.039
4.890	38.304	-62.485	-1.390	29.030
4.900	38.304	-62.485	-1.390	29.033
4.910	38.304	-62.485	-1.390	29.036
4.920	38.309	-62.485	-1.390	29.033
4.931	38.309	-62.485	-1.390	29.045
4.942	38.309	-62.485	-1.390	29.042
4.951	38.309	-62.485	-1.390	29.048
4.961	38.309	-62.490	-1.390	29.045
4.971	38.309	-62.490	-1.390	29.051
4.981	38.315	-62.485	-1.390	29.048
4.991	38.315	-62.485	-1.390	29.039
5.001	38.315	-62.490	-1.390	29.033
5.010	38.315	-62.485	-1.390	29.033
5.021	38.315	-62.485	-1.390	29.045
5.031	38.309	-62.485	-1.390	29.048
5.041	38.309	-62.485	-1.390	29.051
5.051	38.315	-62.485	-1.390	29.048
5.061	38.315	-62.485	-1.390	29.036
5.071	38.309	-62.485	-1.390	29.039
5.081	38.315	-62.485	-1.390	29.030
5.091	38.315	-62.485	-1.390	29.033
5.101	38.315	-62.485	-1.390	29.030
5.112	38.315	-62.485	-1.390	29.042
5.121	38.320	-62.485	-1.390	29.048
