Time	Ax	Ay	Az	Temperature
6.004	8.853	2.857	3.622	29.051
6.014	8.848	2.852	3.632	29.048
6.025	8.843	2.847	3.646	29.039
6.034	8.843	2.852	3.618	29.045
6.044	8.838	2.862	3.622	29.036
6.054	8.833	2.871	3.618	29.039
6.064	8.829	2.852	3.603	29.048
6.074	8.853	2.871	3.632	29.045
6.085	8.853	2.866	3.618	29.030
6.094	8.843	2.881	3.618	29.033
6.104	8.833	2.857	3.608	29.059
6.115	8.838	2.862	3.613	29.051
6.125	8.848	2.862	3.608	29.048
6.135	8.843	2.862	3.618	29.042
6.144	8.829	2.852	3.637	29.033
6.155	8.838	2.871	3.646	29.021
6.165	8.833	2.871	3.646	29.030
6.175	8.833	2.866	3.627	29.048
6.185	8.848	2.876	3.575	29.048
6.195	8.838	2.852	3.622	29.042
6.205	8.843	2.862	3.618	29.045
6.216	8.848	2.876	3.642	29.042
6.225	8.848	2.890	3.637	29.036
6.235	8.862	2.890	3.627	29.030
6.245	8.843	2.881	3.637	29.036
6.255	8.872	2.866	3.622	29.054
6.266	8.862	2.857	3.632	29.051
6.276	8.838	2.876	3.627	29.051
6.286	8.833	2.866	3.651	29.051
6.296	8.853	2.885	3.627	29.042
6.307	8.853	2.871	3.622	29.039
6.315	8.843	2.862	3.642	29.062
6.325	8.838	2.866	3.651	29.045
6.336	8.833	2.881	3.622	29.042
6.346	8.833	2.881	3.598	29.051
6.356	8.833	2.866	3.627	29.042
6.365	8.819	2.862	3.608	29.045
6.375	8.829	2.852	3.613	29.045
6.385	8.843	2.862	3.613	29.051
6.396	8.843	2.862	3.622	29.051
6.406	8.843	2.862	3.622	29.051
6.416	8.829	2.852	3.608	29.042
6.426	8.857	2.871	3.598	29.054
6.436	8.838	2.852	3.642	29.045
6.446	8.833	2.866	3.656	29.030
6.456	8.819	2.862	3.646	29.045
6.466	8.829	2.847	3.642	29.048
6.476	8.848	2.852	3.603	29.048
6.486	8.862	2.881	3.618	29.048
6.496	8.838	2.862	3.642	29.048
6.507	8.843	2.857	3.627	29.048
6.516	8.853	2.866	3.603	29.042
6.526	8.829	2.885	3.608	29.039
6.537	8.824	2.905	3.627	29.045
6.547	8.853	2.876	3.598	29.042
6.557	8.848	2.862	3.608	29.054
6.567	8.848	2.871	3.627	29.042
6.576	8.862	2.871	3.608	29.033
6.586	8.843	2.876	3.651	29.030
6.597	8.829	2.871	3.603	29.033
6.607	8.838	2.862	3.603	29.045
6.617	8.833	2.857	3.613	29.048
6.626	8.833	2.866	3.613	29.056
6.637	8.833	2.871	3.608	29.054
6.647	8.838	2.852	3.608	29.042
6.657	8.848	2.871	3.622	29.051
6.667	8.824	2.866	3.646	29.054
6.677	8.829	2.857	3.651	29.039
6.687	8.838	2.871	3.632	29.030
6.697	8.829	2.885	3.637	29.048
6.707	8.833	2.857	3.637	29.048
6.717	8.829	2.852	3.618	29.042
6.727	8.853	2.847	3.632	29.042
6.737	8.838	2.852	3.622	29.045
6.748	8.857	2.862	3.608	29.045
6.757	8.876	2.862	3.618	29.039
6.767	8.843	2.852	3.627	29.042
6.777	8.838	2.857	3.622	29.051
6.788	8.853	2.871	3.632	29.039
6.798	8.857	2.862	3.642	29.027
6.808	8.838	2.876	3.613	29.048
6.818	8.853	2.862	3.618	29.056
6.827	8.862	2.866	3.608	29.056
6.838	8.829	2.881	3.632	29.054
6.848	8.829	2.866	3.642	29.048
6.858	8.848	2.876	3.627	29.059
6.868	8.833	2.881	3.613	29.051
6.878	8.848	2.842	3.613	29.036
6.888	8.857	2.871	3.598	29.036
6.898	8.867	2.857	3.622	29.033
